"";"document";"selection";"politeness";"service";"quality";"fashion"
"117";"groundtruth1734.csv.1453";0;0;0;0;1
"118";"groundtruth1734.csv.1494";0;0;0;0;0
"119";"groundtruth1734.csv.1497";0;0;0;0;1
"120";"groundtruth1734.csv.1514";0;0;0;1;0
"121";"groundtruth1734.csv.1526";0;0;0;0;1
"122";"groundtruth1734.csv.1578";0;0;0;0;0
"123";"groundtruth1734.csv.1621";0;0;0;0;2
"124";"groundtruth1734.csv.1631";0;0;0;0;1
"125";"groundtruth1734.csv.1638";0;0;0;0;0
"126";"groundtruth1734.csv.1696";0;0;0;1;1
"127";"groundtruth1734.csv.1703";0;0;0;0;1
"128";"groundtruth1734.csv.1745";0;0;0;0;0
"129";"groundtruth1734.csv.1774";0;0;0;3;1
"130";"groundtruth1734.csv.1781";0;0;0;0;1
"131";"groundtruth1734.csv.1831";0;0;0;0;1
"132";"groundtruth1734.csv.1949";0;0;0;0;0
"133";"groundtruth1734.csv.1990";0;0;0;1;2
"134";"groundtruth1734.csv.2020";0;0;0;0;0
"135";"groundtruth1734.csv.2078";0;0;0;1;2
"136";"groundtruth1734.csv.2094";0;0;0;0;0
"137";"groundtruth1734.csv.2098";0;0;0;0;1
"138";"groundtruth1734.csv.2118";0;0;0;0;0
"139";"groundtruth1734.csv.2119";0;0;0;1;0
"140";"groundtruth1734.csv.2127";0;0;0;0;1
"141";"groundtruth1734.csv.2148";0;0;0;3;0
"142";"groundtruth1734.csv.2173";0;0;0;0;1
"143";"groundtruth1734.csv.2180";0;0;0;0;0
"144";"groundtruth1734.csv.2206";0;0;0;0;0
"145";"groundtruth1734.csv.2214";0;0;0;1;0
"146";"groundtruth1734.csv.2254";0;0;0;0;1
"147";"groundtruth1734.csv.2255";0;0;0;0;1
"148";"groundtruth1734.csv.2256";0;0;0;0;1
"149";"groundtruth1734.csv.2257";0;0;0;2;0
"150";"groundtruth1734.csv.2264";0;0;0;0;0
"151";"groundtruth1734.csv.2276";0;0;0;0;1
"152";"groundtruth1734.csv.2321";0;0;0;2;1
"153";"groundtruth1734.csv.2325";0;0;0;1;1
"154";"groundtruth1734.csv.2326";0;0;0;0;0
"155";"groundtruth1734.csv.2328";0;0;0;0;1
"156";"groundtruth1734.csv.2329";0;0;0;0;1
"157";"groundtruth1734.csv.2330";0;0;0;0;1
"158";"groundtruth1734.csv.2331";0;0;0;2;0
"159";"groundtruth1734.csv.2336";0;0;0;1;0
"160";"groundtruth1734.csv.2341";0;0;0;0;0
"161";"groundtruth1734.csv.2351";0;0;0;0;1
